Player,#,Team,Pos,HT,WT,Age,Exp,College,Status
Ray Davis,22,BUF,RB,5'8,220,26,2,Kentucky,ACT
Cam Lewis,39,BUF,DB,5'9,183,28,6,Buffalo,ACT
Brandin Cooks,18,BUF,WR,5'10,189,32,12,Oregon State,ACT
Ty Johnson,26,BUF,RB,5'10,210,28,7,Maryland,ACT
Matt Prater,15,BUF,K,5'10,175,41,19,UCF,ACT
James Cook III,4,BUF,RB,5'11,190,26,4,Georgia,ACT
Maxwell Hairston,31,BUF,CB,5'11,183,22,R,Kentucky,ACT
Dane Jackson,23,BUF,CB,5'11,180,29,6,Pitt,ACT
Taron Johnson,7,BUF,CB,5'11,192,29,8,Weber State,ACT
Curtis Samuel,1,BUF,WR,5'11,195,29,9,Ohio State,ACT
Darnell Savage,25,BUF,S,5'11,198,28,7,Maryland,ACT
Tre'Davious White,27,BUF,CB,5'11,192,31,9,Louisiana State,ACT
Shane Buechele,6,BUF,QB,6'1,210,28,4,SMU,ACT
Reggie Gilliam,41,BUF,FB,6'1,244,28,6,Toledo,ACT
Jordan Hancock,37,BUF,DB,6'1,195,22,R,Ohio State,ACT
Matt Milano,58,BUF,LB,6'1,223,31,9,Boston College,ACT
Jordan Poyer,21,BUF,S,6'1,191,34,13,Oregon State,ACT
Khalil Shakir,10,BUF,WR,6'1,190,26,4,Boise State,ACT
Baylon Spector,54,BUF,LB,6'1,233,27,4,Clemson,ACT
Shaq Thompson,45,BUF,OLB,6'1,230,31,11,Washington,ACT
Joe Andreessen,44,BUF,LB,6'1,232,26,2,Buffalo,ACT
Christian Benford,47,BUF,CB,6'1,205,25,4,Villanova,ACT
Terrel Bernard,8,BUF,LB,6'1,224,26,4,Baylor,ACT
Ed Oliver,91,BUF,DT,6'1,287,28,7,Houston,ACT
Javon Solomon,56,BUF,DE,6'1,247,25,2,Troy,ACT
Jalen Virgil,13,BUF,WR,6'1,210,27,4,Appalachian State,ACT
Cole Bishop,24,BUF,S,6'2,207,23,2,Utah,ACT
Reid Ferguson,69,BUF,LS,6'2,235,31,9,Louisiana State,ACT
Larry Ogunjobi,99,BUF,DT,6'2,305,31,9,Charlotte,ACT
Dorian Williams,42,BUF,LB,6'2,230,24,3,Tulane,ACT
Mitch Wishnowsky,19,BUF,P,6'2,220,33,7,Utah,ACT
Sam Franklin Jr.,28,BUF,DB,6'3,210,30,6,Temple,ACT
Mitchell Trubisky,11,BUF,QB,6'3,222,31,9,North Carolina,ACT
Keon Coleman,0,BUF,WR,6'4,215,22,2,Florida State,ACT
Jackson Hawes,85,BUF,TE,6'4,253,25,R,Georgia Tech,ACT
DaQuan Jones,92,BUF,DT,6'4,320,34,12,Penn State,ACT
Dalton Kincaid,86,BUF,TE,6'4,240,26,3,Utah,ACT
Dawson Knox,88,BUF,TE,6'4,254,29,7,Mississippi,ACT
Phidarian Mathis,72,BUF,DT,6'4,312,27,4,Alabama,ACT
T.J. Sanders,98,BUF,DT,6'4,297,22,R,South Carolina,ACT
Sedrick Van Pran-Granger,62,BUF,C,6'4,310,24,2,Georgia,ACT
Josh Allen,17,BUF,QB,6'5,237,29,8,Wyoming,ACT
Alec Anderson,70,BUF,T,6'5,305,26,3,UCLA,ACT
Joey Bosa,97,BUF,DE,6'5,280,30,10,Ohio State,ACT
Dion Dawkins,73,BUF,T,6'5,320,31,9,Temple,ACT
Tylan Grable,68,BUF,T,6'5,309,26,2,UCF,ACT
Connor McGovern,66,BUF,G,6'5,318,28,7,Penn State,ACT
O'Cyrus Torrence,64,BUF,G,6'5,347,26,3,Florida,ACT
David Edwards,76,BUF,G,6'6,308,28,7,Wisconsin,ACT
A.J. Epenesa,57,BUF,DE,6'6,260,27,6,Iowa,ACT
Greg Rousseau,50,BUF,DE,6'6,266,25,5,Miami,ACT
Ryan Van Demark,74,BUF,T,6'6,307,27,3,Connecticut,ACT
Keleki Latu,83,BUF,TE,6'7,244,23,R,Washington,ACT
Deone Walker,96,BUF,DT,6'7,331,21,R,Kentucky,ACT
Spencer Brown,79,BUF,T,6'8,311,27,5,Northern Iowa,ACT
Tyler Bass,2,BUF,K,5'10,183,29,6,Georgia Southern,IR
DeWayne Carter,90,BUF,DT,6'3,305,25,2,Duke,IR
Gabe Davis,13,BUF,WR,6'2,225,26,6,UCF,IR
Damar Hamlin,3,BUF,S,6'1,200,27,5,Pittsburgh,IR
Michael Hoecht,55,BUF,DE,6'4,310,28,5,Brown,IR
Landon Jackson,94,BUF,DE,6'6,264,23,R,Arkansas,IR
Cameron Johnston,16,BUF,P,5'11,194,33,8,Ohio State,IR
Chase Lundt,77,BUF,T,6'7,304,25,R,Connecticut,IR
Wande Owens,30,BUF,DB,5'11,210,24,R,New Hampshire,IR
Joshua Palmer,5,BUF,WR,6'1,210,26,5,Tennessee,IR
Jordan Phillips,52,BUF,DT,6'6,341,33,11,Oklahoma,IR
Taylor Rapp,9,BUF,S,6'1,208,28,7,Washington,IR
Tyrell Shavers,14,BUF,WR,6'4,211,26,1,San Diego State,IR
Dorian Strong,43,BUF,CB,6'1,185,23,R,Virginia Tech,IR
De'Von Achane,28,MIA,RB,5'9,191,24,3,Texas A&M,ACT
Jake Bailey,16,MIA,P,6'2,212,28,7,Stanford,ACT
Miles Battle,35,MIA,CB,6'3,196,26,1,Utah,ACT
Quinton Bell,56,MIA,LB,6'4,258,29,4,Prairie View A&M,ACT
Zeek Biggers,93,MIA,DT,6'6,319,22,R,Georgia Tech,ACT
Ethan Bonner,27,MIA,CB,6'1,190,26,2,Stanford,ACT
Larry Borom,79,MIA,T,6'5,325,26,5,Missouri,ACT
JuJu Brents,32,MIA,CB,6'3,198,26,3,Kansas State,ACT
Aaron Brewer,55,MIA,C,6'1,295,28,6,Texas State,ACT
K.J. Britt,3,MIA,LB,6'1,240,26,5,Auburn,ACT
Jordyn Brooks,20,MIA,LB,6'1,240,28,6,Texas Tech,ACT
Omar Brown,N/A,MIA,SAF,6'1,200,25,1,Nebraska,ACT
Daniel Brunskill,64,MIA,C,6'5,300,32,7,San Diego State,ACT
Artie Burns,23,MIA,CB,6'1,187,30,10,Miami,ACT
Matthew Butler,91,MIA,DT,6'3,305,26,3,Tennessee,ACT
Yodny Cajuste,63,MIA,T,6'5,310,29,5,West Virginia,ACT
Elijah Campbell,22,MIA,DB,5'11,200,30,6,Northern Iowa,ACT
Joe Cardona,49,MIA,LS,6'2,241,33,11,Navy,ACT
Bradley Chubb,2,MIA,LB,6'4,268,29,8,N.C. State,ACT
Jordan Colbert,43,MIA,S,6'2,218,25,1,Rhode Island,ACT
Seth Coleman,N/A,MIA,LB,6'3,246,25,R,Illinois,ACT
Jalin Conyers,47,MIA,TE,6'4,265,24,R,Texas Tech,ACT
Keith Cooper Jr.,64,MIA,DE,6'5,280,22,R,Houston,ACT
Braeden Daniels,66,MIA,G,6'4,297,25,2,Utah,ACT
James Daniels,78,MIA,G,6'4,320,28,8,Iowa,ACT
Ashtyn Davis,21,MIA,S,6'1,205,29,6,California,ACT
Tyrel Dodson,25,MIA,LB,6'1,237,27,6,Texas A&M,ACT
Rasul Douglas,26,MIA,CB,6'2,209,31,9,West Virginia,ACT
